surfaceMode,perfectFinish,Mach,Re,Re_transition,Re_over_Re_transition,CD_wing_ref,pressureCD_wing_ref,frictionCD_wing_ref,baseCD_wing_ref,forebodyCD_wing_ref
natural_transition,true,0.200,2503809.75,2994609.70,0.8361,0.018310,0.000074,0.004050,0.014186,0.004124
ordinary_finish_bracket,false,0.200,2503809.75,2994609.70,0.8361,0.031435,0.000074,0.017175,0.014186,0.017249
natural_transition,true,0.250,3098744.77,2991586.16,1.0358,0.018798,0.000118,0.004062,0.014617,0.004180
ordinary_finish_bracket,false,0.250,3098744.77,2991586.16,1.0358,0.031226,0.000118,0.016490,0.014617,0.016609
natural_transition,true,0.300,3673741.41,2987899.01,1.2295,0.020929,0.000174,0.005627,0.015128,0.005801
ordinary_finish_bracket,false,0.300,3673741.41,2987899.01,1.2295,0.031258,0.000174,0.015957,0.015128,0.016130
natural_transition,true,0.350,4225523.30,2983553.16,1.4163,0.022623,0.000243,0.006661,0.015719,0.006904
ordinary_finish_bracket,false,0.350,4225523.30,2983553.16,1.4163,0.031482,0.000243,0.015520,0.015719,0.015763
natural_transition,true,0.400,4751167.29,2978554.41,1.5951,0.024092,0.000327,0.007373,0.016392,0.007699
ordinary_finish_bracket,false,0.400,4751167.29,2978554.41,1.5951,0.031871,0.000327,0.015152,0.016392,0.015478
natural_transition,true,0.450,5248135.70,2972909.36,1.7653,0.025453,0.000429,0.007875,0.017150,0.008303
ordinary_finish_bracket,false,0.450,5248135.70,2972909.36,1.7653,0.032410,0.000429,0.014832,0.017150,0.015260
natural_transition,true,0.500,5714298.47,2966625.46,1.9262,0.026778,0.000552,0.008234,0.017992,0.008786
ordinary_finish_bracket,false,0.500,5714298.47,2966625.46,1.9262,0.033092,0.000552,0.014548,0.017992,0.015100
natural_transition,true,0.550,6147945.32,2959710.93,2.0772,0.028116,0.000702,0.008492,0.018922,0.009194
ordinary_finish_bracket,false,0.550,6147945.32,2959710.93,2.0772,0.033916,0.000702,0.014292,0.018922,0.014994
natural_transition,true,0.600,6547788.15,2952174.77,2.2180,0.029501,0.000886,0.008676,0.019939,0.009562
ordinary_finish_bracket,false,0.600,6547788.15,2952174.77,2.2180,0.034883,0.000886,0.014058,0.019939,0.014944
natural_transition,true,0.650,6912954.36,2944026.69,2.3481,0.030964,0.001114,0.008803,0.021047,0.009917
ordinary_finish_bracket,false,0.650,6912954.36,2944026.69,2.3481,0.036002,0.001114,0.013841,0.021047,0.014956
natural_transition,true,0.700,7242972.05,2935277.14,2.4676,0.032537,0.001404,0.008887,0.022246,0.010291
ordinary_finish_bracket,false,0.700,7242972.05,2935277.14,2.4676,0.037287,0.001404,0.013638,0.022246,0.015042
natural_transition,true,0.750,7537748.04,2925937.21,2.5762,0.034256,0.001783,0.008936,0.023537,0.010719
ordinary_finish_bracket,false,0.750,7537748.04,2925937.21,2.5762,0.038765,0.001783,0.013445,0.023537,0.015227
natural_transition,true,0.800,7797540.26,2916018.66,2.6740,0.036182,0.002300,0.008958,0.024924,0.011258
ordinary_finish_bracket,false,0.800,7797540.26,2916018.66,2.6740,0.040484,0.002300,0.013260,0.024924,0.015560
natural_transition,true,0.850,8022925.52,2905533.83,2.7613,0.038723,0.003061,0.008957,0.026706,0.012017
ordinary_finish_bracket,false,0.850,8022925.52,2905533.83,2.7613,0.042848,0.003061,0.013081,0.026706,0.016142
natural_transition,true,0.900,8214764.11,2894495.63,2.8381,0.041706,0.004331,0.008936,0.028439,0.013267
ordinary_finish_bracket,false,0.900,8214764.11,2894495.63,2.8381,0.045678,0.004331,0.012908,0.028439,0.017239
natural_transition,true,0.950,8374162.49,2882917.51,2.9048,0.044806,0.005144,0.009562,0.030100,0.014707
ordinary_finish_bracket,false,0.950,8374162.49,2882917.51,2.9048,0.047599,0.005144,0.012355,0.030100,0.017499
natural_transition,true,1.000,8502435.20,2870813.40,2.9617,0.048440,0.006512,0.010155,0.031773,0.016667
ordinary_finish_bracket,false,1.000,8502435.20,2870813.40,2.9617,0.050130,0.006512,0.011845,0.031773,0.018356
natural_transition,true,1.050,8601067.04,2858197.67,3.0093,0.055726,0.011606,0.010729,0.033390,0.022335
ordinary_finish_bracket,false,1.050,8601067.04,2858197.67,3.0093,0.056375,0.011606,0.011378,0.033390,0.022985
natural_transition,true,1.100,8671676.35,2845085.12,3.0479,0.060038,0.013972,0.011297,0.034768,0.025269
ordinary_finish_bracket,false,1.100,8671676.35,2845085.12,3.0479,0.059699,0.013972,0.010958,0.034768,0.024930
natural_transition,true,1.150,8715980.29,2831490.90,3.0782,0.062028,0.015146,0.011219,0.035662,0.026366
ordinary_finish_bracket,false,1.150,8715980.29,2831490.90,3.0782,0.061691,0.015146,0.010883,0.035662,0.026029
natural_transition,true,1.200,8735762.40,2817430.50,3.1006,0.063174,0.016212,0.011146,0.035817,0.027357
